,Census Block FIPS Code,Max Advertised Downstream Speed (mbps)
738,18083,1000.0
739,18085,1000.0
740,18087,1000.0
741,18089,1000.0
742,18091,1000.0
743,18093,1000.0
744,18095,1000.0
745,18097,10000.0
746,18099,1000.0
747,18101,1000.0
748,18103,1000.0
749,18105,3000.0
750,18107,1000.0
751,18109,1024.0
752,18111,1000.0
753,18113,1000.0
754,18115,1000.0
755,18117,1000.0
756,18119,1024.0
757,18121,1024.0
758,18123,1000.0
759,18125,1000.0
760,18127,1000.0
761,18129,1000.0
762,18131,1000.0
763,18133,1024.0
764,18135,1000.0
765,18137,1000.0
766,18139,1000.0
767,18141,1000.0
768,18143,2000.0
769,18145,1000.0
770,18147,1000.0
771,18149,1000.0
772,18151,1000.0
773,18153,1000.0
774,18155,1000.0
775,18157,10000.0
776,18159,1024.0
777,18161,1000.0
778,18163,1000.0
779,18165,1000.0
780,18167,1000.0
781,18169,1000.0
782,18171,1000.0
783,18173,1000.0
784,18175,1000.0
785,18177,1000.0
786,18179,1000.0
787,18181,1000.0
788,18183,1000.0
789,19001,1000.0
790,19003,1000.0
791,19005,1000.0
792,19007,1000.0
793,19009,1000.0
794,19011,1000.0
795,19013,10000.0
796,19015,1000.0
797,19017,10000.0
798,19019,1000.0
799,19021,1000.0
800,19023,10000.0
801,19025,1000.0
802,19027,1000.0
803,19029,1000.0
804,19031,1000.0
805,19033,1000.0
806,19035,1000.0
807,19037,1000.0
808,19039,1000.0
809,19041,1000.0
810,19043,1000.0
811,19045,1000.0
812,19047,1000.0
813,19049,1000.0
814,19051,1000.0
815,19053,1000.0
816,19055,1000.0
817,19057,1000.0
818,19059,1000.0
819,19061,2000.0
820,19063,1000.0
821,19065,1000.0
822,19067,1000.0
823,19069,1000.0
824,19071,1000.0
825,19073,1000.0
826,19075,10000.0
827,19077,1000.0
828,19079,1000.0
829,19081,1000.0
830,19083,1000.0
831,19085,1000.0
832,19087,1000.0
833,19089,1000.0
834,19091,1000.0
835,19093,500.0
836,19095,1000.0
837,19097,1000.0
838,19099,1000.0
839,19101,1000.0
840,19103,1000.0
841,19105,1000.0
842,19107,1000.0
843,19109,1000.0
844,19111,1000.0
845,19113,1000.0
846,19115,1000.0
847,19117,1000.0
848,19119,1000.0
849,19121,1000.0
850,19123,1000.0
851,19125,1000.0
852,19127,1000.0
853,19129,1000.0
854,19131,1000.0
855,19133,1000.0
856,19135,1000.0
857,19137,1000.0
858,19139,1000.0
859,19141,1000.0
860,19143,1000.0
861,19145,1000.0
862,19147,1000.0
863,19149,1000.0
864,19151,1000.0
865,19153,1000.0
866,19155,1000.0
867,19157,1000.0
868,19159,1000.0
869,19161,1000.0
870,19163,1000.0
871,19165,1000.0
872,19167,1000.0
873,19169,1000.0
874,19171,1000.0
875,19173,1000.0
876,19175,1000.0
877,19177,1000.0
878,19179,1000.0
879,19181,1000.0
880,19183,1000.0
881,19185,1000.0
882,19187,1000.0
883,19189,1000.0
884,19191,1000.0
885,19193,1000.0
886,19195,1000.0
887,19197,1000.0
888,20001,1000.0
889,20003,1000.0
890,20005,1000.0
891,20007,1000.0
892,20009,1000.0
893,20011,1000.0
894,20013,1000.0
895,20015,1000.0
896,20017,1000.0
897,20019,150.0
898,20021,1000.0
899,20023,1000.0
900,20025,1000.0
901,20027,1000.0
902,20029,1000.0
903,20031,1000.0
904,20033,1000.0
905,20035,1000.0
906,20037,1000.0
907,20039,1000.0
908,20041,1000.0
909,20043,1000.0
910,20045,1000.0
911,20047,1000.0
912,20049,150.0
913,20051,1000.0
914,20053,1000.0
915,20055,1000.0
916,20057,1000.0
917,20059,1000.0
918,20061,1000.0
919,20063,1000.0
920,20065,1000.0
921,20067,250.0
922,20069,100.0
923,20071,250.0
924,20073,1000.0
925,20075,250.0
926,20077,1000.0
927,20079,1000.0
928,20081,1000.0
929,20083,1000.0
930,20085,1000.0
931,20087,1000.0
932,20089,1000.0
933,20091,1000.0
934,20093,250.0
935,20095,1000.0
936,20097,1000.0
937,20099,1000.0
938,20101,250.0
939,20103,1000.0
940,20105,1000.0
941,20107,1000.0
942,20109,250.0
943,20111,1000.0
944,20113,1000.0
945,20115,1000.0
946,20117,100.0
947,20119,1000.0
948,20121,1000.0
949,20123,1000.0
950,20125,10000.0
951,20127,1000.0
952,20129,250.0
953,20131,100.0
954,20133,1000.0
955,20135,1000.0
956,20137,1000.0
957,20139,1000.0
958,20141,1000.0
959,20143,1000.0
960,20145,1000.0
961,20147,1000.0
962,20149,1000.0
963,20151,1000.0
964,20153,1000.0
965,20155,1000.0
966,20157,1000.0
967,20159,1000.0
968,20161,1000.0
969,20163,1000.0
970,20165,1000.0
971,20167,1000.0
972,20169,1000.0
973,20171,250.0
974,20173,1000.0
975,20175,1000.0
976,20177,1000.0
977,20179,1000.0
978,20181,250.0
979,20183,1000.0
980,20185,1000.0
981,20187,250.0
982,20189,250.0
983,20191,1000.0
984,20193,1000.0
985,20195,1000.0
986,20197,1000.0
987,20199,250.0
988,20201,1000.0
989,20203,250.0
990,20205,1000.0
991,20207,1000.0
992,20209,1000.0
993,21001,1000.0
994,21003,1000.0
995,21005,1000.0
996,21007,1024.0
997,21009,1000.0
998,21011,1000.0
999,21013,1000.0
1000,21015,940.0
1001,21017,1000.0
1002,21019,1000.0
1003,21021,1000.0
1004,21023,1000.0
1005,21025,1000.0
1006,21027,1000.0
1007,21029,1000.0
1008,21031,1000.0
1009,21033,1000.0
1010,21035,1000.0
1011,21037,1000.0
1012,21039,1000.0
1013,21041,940.0
1014,21043,1000.0
1015,21045,940.0
1016,21047,1000.0
1017,21049,1000.0
1018,21051,1000.0
1019,21053,1000.0
1020,21055,1000.0
1021,21057,1000.0
1022,21059,1000.0
1023,21061,1000.0
1024,21063,1000.0
1025,21065,1000.0
1026,21067,1000.0
1027,21069,1000.0
1028,21071,1000.0
1029,21073,1000.0
1030,21075,1000.0
1031,21077,940.0
1032,21079,1000.0
1033,21081,940.0
1034,21083,1000.0
1035,21085,1000.0
1036,21087,1000.0
1037,21089,1000.0
1038,21091,100.0
1039,21093,1000.0
1040,21095,940.0
1041,21097,1000.0
1042,21099,1000.0
1043,21101,1000.0
1044,21103,1000.0
1045,21105,1000.0
1046,21107,1000.0
1047,21109,1000.0
1048,21111,1000.0
1049,21113,1000.0
1050,21115,1000.0
1051,21117,1000.0
1052,21119,1000.0
1053,21121,1000.0
1054,21123,1000.0
1055,21125,1000.0
1056,21127,1000.0
1057,21129,1000.0
1058,21131,1000.0
1059,21133,1000.0
1060,21135,940.0
1061,21137,940.0
1062,21139,1000.0
1063,21141,1000.0
1064,21143,1000.0
1065,21145,1024.0
1066,21147,1000.0
1067,21149,940.0
1068,21151,1000.0
1069,21153,1000.0
1070,21155,1000.0
1071,21157,1000.0
1072,21159,25.0
1073,21161,1000.0
1074,21163,1000.0
1075,21165,1000.0
1076,21167,1000.0
1077,21169,1000.0
1078,21171,1000.0
1079,21173,1000.0
1080,21175,1000.0
1081,21177,1000.0
1082,21179,1000.0
1083,21181,940.0
1084,21183,1000.0
1085,21185,1000.0
1086,21187,940.0
1087,21189,1000.0
1088,21191,1000.0
1089,21193,1000.0
1090,21195,1000.0
1091,21197,1000.0
1092,21199,1000.0
1093,21201,200.0
1094,21203,1000.0
1095,21205,1000.0
1096,21207,200.0
1097,21209,1000.0
1098,21211,1000.0
1099,21213,1000.0
1100,21215,1000.0
1101,21217,1000.0
1102,21219,1000.0
1103,21221,1000.0
1104,21223,1000.0
1105,21225,940.0
1106,21227,1000.0
1107,21229,1000.0
1108,21231,1000.0
1109,21233,940.0
1110,21235,1000.0
1111,21237,1000.0
1112,21239,1000.0
1113,22001,1000.0
1114,22003,1000.0
1115,22005,1000.0
1116,22007,1000.0
1117,22009,1000.0
1118,22011,1000.0
1119,22013,60.0
1120,22015,1000.0
1121,22017,1000.0
1122,22019,1000.0
1123,22021,1000.0
1124,22023,250.0
1125,22025,50.0
1126,22027,1000.0
1127,22029,300.0
1128,22031,1000.0
1129,22033,1000.0
1130,22035,1000.0
1131,22037,1000.0
1132,22039,940.0
1133,22041,1000.0
1134,22043,1000.0
1135,22045,1000.0
1136,22047,1000.0
1137,22049,1000.0
1138,22051,1000.0
1139,22053,1000.0
